DATA;REGIAO/CANAL;COD. PROD;DESCRICAO PROD;CATEGORY;FABRICANTE;MARCA;TAMANHO;LEVEL;VENDAS ('000 UNID);VENDAS EM VALOR REAL ('000);DISTR. PONDERADA;DISTRIBUICAO NUMERICA
;;R97304;CAPAS ROGUIS MEIDE LTDA. MEIDIBAI WOODCROFT TROUXA;CAPAS;ROGUIS MEIDE LTDA.;MEIDIBAI WOODCROFT;TROUXA;COR;42436;699374;56;37
;;R26605;CAPAS ROGUIS MEIDE LTDA. MEIDIBAI WOODCROFT DUENDE;CAPAS;ROGUIS MEIDE LTDA.;MEIDIBAI WOODCROFT;DUENDE;COR;7353;7661500;97;83
;;N7553;CAPAS ROGUIS MEIDE LTDA. QUALQUERSEX ;CAPAS;ROGUIS MEIDE LTDA.;QUALQUERSEX;;MARCA;2695;4240941;55;78
;;R19074;CAPAS ROGUIS MEIDE LTDA. QUALQUERSEX ANIMAL FANTÁSTICO;CAPAS;ROGUIS MEIDE LTDA.;QUALQUERSEX;ANIMAL FANTÁSTICO;COR;43952;6208623;9;58
;;R85241;CAPAS ROGUIS MEIDE LTDA. QUALQUERSEX BRUXO;CAPAS;ROGUIS MEIDE LTDA.;QUALQUERSEX;BRUXO;COR;6258;1622097;89;23
;;R99102;CAPAS ROGUIS MEIDE LTDA. QUALQUERSEX TROUXA;CAPAS;ROGUIS MEIDE LTDA.;QUALQUERSEX;TROUXA;COR;22802;9464907;97;19
;;R20506;CAPAS ROGUIS MEIDE LTDA. QUALQUERSEX DUENDE;CAPAS;ROGUIS MEIDE LTDA.;QUALQUERSEX;DUENDE;COR;13690;5700672;37;77
;;N9830;CAPAS ROGUIS MEIDE LTDA. MEIDIBAI ROSMERTA ;CAPAS;ROGUIS MEIDE LTDA.;MEIDIBAI ROSMERTA;;MARCA;22219;9349441;5;20
;;R64085;CAPAS ROGUIS MEIDE LTDA. MEIDIBAI ROSMERTA BRUXO;CAPAS;ROGUIS MEIDE LTDA.;MEIDIBAI ROSMERTA;BRUXO;COR;4966;3848680;87;87
;;R59319;CAPAS ROGUIS MEIDE LTDA. MEIDIBAI ROSMERTA TROUXA;CAPAS;ROGUIS MEIDE LTDA.;MEIDIBAI ROSMERTA;TROUXA;COR;2569;6694522;71;6
;;R18796;CAPAS ROGUIS MEIDE LTDA. MEIDIBAI ROSMERTA DUENDE;CAPAS;ROGUIS MEIDE LTDA.;MEIDIBAI ROSMERTA;DUENDE;COR;48925;8863849;54;33
;;B319;CAPAS DEMENTADORES S/A  ;CAPAS;DEMENTADORES S/A;;;FABRICANTE;32171;9011121;65;54
;;N234;CAPAS DEMENTADORES S/A VAIDEMORTE ;CAPAS;DEMENTADORES S/A;VAIDEMORTE;;MARCA;35691;3550044;80;62
;;R91716;CAPAS DEMENTADORES S/A VAIDEMORTE BRUXO;CAPAS;DEMENTADORES S/A;VAIDEMORTE;BRUXO;COR;22782;2777459;66;24
;;R59993;CAPAS DEMENTADORES S/A VAIDEMORTE TROUXA;CAPAS;DEMENTADORES S/A;VAIDEMORTE;TROUXA;COR;13445;9313214;68;75
;;R42210;CAPAS DEMENTADORES S/A VAIDEMORTE DUENDE;CAPAS;DEMENTADORES S/A;VAIDEMORTE;DUENDE;COR;10235;1761536;17;65
;;N2886;CAPAS DEMENTADORES S/A PAN ;CAPAS;DEMENTADORES S/A;PAN;;MARCA;1323;436963;15;53
;;R13298;CAPAS DEMENTADORES S/A PAN ANIMAL FANTÁSTICO;CAPAS;DEMENTADORES S/A;PAN;ANIMAL FANTÁSTICO;COR;44966;8152831;91;16
;;R93759;CAPAS DEMENTADORES S/A PAN BRUXO;CAPAS;DEMENTADORES S/A;PAN;BRUXO;COR;4523;2767506;67;47
;;R21131;CAPAS DEMENTADORES S/A PAN TROUXA;CAPAS;DEMENTADORES S/A;PAN;TROUXA;COR;23856;5722519;45;19
;;R49532;CAPAS DEMENTADORES S/A PAN DUENDE;CAPAS;DEMENTADORES S/A;PAN;DUENDE;COR;26947;5261721;84;35
;;N5336;CAPAS DEMENTADORES S/A LESTRANHA ;CAPAS;DEMENTADORES S/A;LESTRANHA;;MARCA;45115;6095060;54;87
;;R27351;CAPAS DEMENTADORES S/A LESTRANHA BRUXO;CAPAS;DEMENTADORES S/A;LESTRANHA;BRUXO;COR;35215;7148018;0;0
;;R80752;CAPAS DEMENTADORES S/A LESTRANHA TROUXA;CAPAS;DEMENTADORES S/A;LESTRANHA;TROUXA;COR;3603;4175289;13;12
;;R13333;CAPAS DEMENTADORES S/A LESTRANHA DUENDE;CAPAS;DEMENTADORES S/A;LESTRANHA;DUENDE;COR;13154;3142354;88;100
;;B474;CAPAS ESCAMANDRO LTDA.  ;CAPAS;ESCAMANDRO LTDA.;;;FABRICANTE;11308;7260180;96;52
;;N5925;CAPAS ESCAMANDRO LTDA. NILTON ;CAPAS;ESCAMANDRO LTDA.;NILTON;;MARCA;36720;3034749;79;76
;;R36085;CAPAS ESCAMANDRO LTDA. NILTON BRUXO;CAPAS;ESCAMANDRO LTDA.;NILTON;BRUXO;COR;9813;5494609;26;95
;;R23106;CAPAS ESCAMANDRO LTDA. NILTON TROUXA;CAPAS;ESCAMANDRO LTDA.;NILTON;TROUXA;COR;44869;8323528;78;7
;;R12951;CAPAS ESCAMANDRO LTDA. NILTON DUENDE;CAPAS;ESCAMANDRO LTDA.;NILTON;DUENDE;COR;27819;7163440;28;99
;;N1790;CAPAS ESCAMANDRO LTDA. NEUTRX ;CAPAS;ESCAMANDRO LTDA.;NEUTRX;;MARCA;44955;1720122;13;64
;;R73886;CAPAS ESCAMANDRO LTDA. NEUTRX ANIMAL FANTÁSTICO;CAPAS;ESCAMANDRO LTDA.;NEUTRX;ANIMAL FANTÁSTICO;COR;14400;7669519;93;10
;;R31266;CAPAS ESCAMANDRO LTDA. NEUTRX BRUXO;CAPAS;ESCAMANDRO LTDA.;NEUTRX;BRUXO;COR;29480;911702;30;39
;;R73825;CAPAS ESCAMANDRO LTDA. NEUTRX TROUXA;CAPAS;ESCAMANDRO LTDA.;NEUTRX;TROUXA;COR;3614;406227;19;36
;;R26852;CAPAS ESCAMANDRO LTDA. NEUTRX DUENDE;CAPAS;ESCAMANDRO LTDA.;NEUTRX;DUENDE;COR;16348;1647612;88;29
;;N7409;CAPAS ESCAMANDRO LTDA. OLIVIA ;CAPAS;ESCAMANDRO LTDA.;OLIVIA;;MARCA;6957;5372214;89;62
;;R75276;CAPAS ESCAMANDRO LTDA. OLIVIA BRUXO;CAPAS;ESCAMANDRO LTDA.;OLIVIA;BRUXO;COR;24878;4672475;91;42
;;R20355;CAPAS ESCAMANDRO LTDA. OLIVIA TROUXA;CAPAS;ESCAMANDRO LTDA.;OLIVIA;TROUXA;COR;45808;1972593;32;35
;;R27571;CAPAS ESCAMANDRO LTDA. OLIVIA DUENDE;CAPAS;ESCAMANDRO LTDA.;OLIVIA;DUENDE;COR;24425;7545154;9;53
;AREA V - AUTOSSERVIÇO;A958;CAPAS   ;CAPAS;;;;CATEGORY;10676;4461929;28;17
;;B541;CAPAS ROGUI WARTES LTDA.  ;CAPAS;ROGUI WARTES LTDA.;;;FABRICANTE;21765;1959381;87;48
;;N1266;CAPAS ROGUI WARTES LTDA. ROGUI WARTES ;CAPAS;ROGUI WARTES LTDA.;ROGUI WARTES;;MARCA;544;3591515;22;78
;;R81477;CAPAS ROGUI WARTES LTDA. ROGUI WARTES BRUXO;CAPAS;ROGUI WARTES LTDA.;ROGUI WARTES;BRUXO;COR;29692;8528400;87;50
;;R94635;CAPAS ROGUI WARTES LTDA. ROGUI WARTES TROUXA;CAPAS;ROGUI WARTES LTDA.;ROGUI WARTES;TROUXA;COR;33323;4167964;35;61
;;R51041;CAPAS ROGUI WARTES LTDA. ROGUI WARTES DUENDE;CAPAS;ROGUI WARTES LTDA.;ROGUI WARTES;DUENDE;COR;37883;9281133;44;74
;;N2618;CAPAS ROGUI WARTES LTDA. ROGUI PARATODES ;CAPAS;ROGUI WARTES LTDA.;ROGUI PARATODES;;MARCA;12452;3485840;54;99
;;R60103;CAPAS ROGUI WARTES LTDA. ROGUI PARATODES ANIMAL FANTÁSTICO;CAPAS;ROGUI WARTES LTDA.;ROGUI PARATODES;ANIMAL FANTÁSTICO;COR;45332;2451896;59;75
;;R8548;CAPAS ROGUI WARTES LTDA. ROGUI PARATODES BRUXO;CAPAS;ROGUI WARTES LTDA.;ROGUI PARATODES;BRUXO;COR;31161;991652;64;67
;;R25240;CAPAS ROGUI WARTES LTDA. ROGUI PARATODES TROUXA;CAPAS;ROGUI WARTES LTDA.;ROGUI PARATODES;TROUXA;COR;48078;3113051;46;32
;;R59104;CAPAS ROGUI WARTES LTDA. ROGUI PARATODES DUENDE;CAPAS;ROGUI WARTES LTDA.;ROGUI PARATODES;DUENDE;COR;7666;3669709;83;59
;;N8906;CAPAS ROGUI WARTES LTDA. ROGUI LADIES ;CAPAS;ROGUI WARTES LTDA.;ROGUI LADIES;;MARCA;32197;2869395;45;69
;;R51297;CAPAS ROGUI WARTES LTDA. ROGUI LADIES BRUXO;CAPAS;ROGUI WARTES LTDA.;ROGUI LADIES;BRUXO;COR;29028;1826542;94;11
;;R23636;CAPAS ROGUI WARTES LTDA. ROGUI LADIES TROUXA;CAPAS;ROGUI WARTES LTDA.;ROGUI LADIES;TROUXA;COR;45961;3644513;4;53
;;R5291;CAPAS ROGUI WARTES LTDA. ROGUI LADIES DUENDE;CAPAS;ROGUI WARTES LTDA.;ROGUI LADIES;DUENDE;COR;49146;7819051;54;13
;;B752;CAPAS ROGUIS MEIDE LTDA.  ;CAPAS;ROGUIS MEIDE LTDA.;;;FABRICANTE;842;2956005;83;86
;;N1471;CAPAS ROGUIS MEIDE LTDA. MEIDIBAI WOODCROFT ;CAPAS;ROGUIS MEIDE LTDA.;MEIDIBAI WOODCROFT;;MARCA;25716;910055;7;76
;;R82472;CAPAS ROGUIS MEIDE LTDA. MEIDIBAI WOODCROFT BRUXO;CAPAS;ROGUIS MEIDE LTDA.;MEIDIBAI WOODCROFT;BRUXO;COR;45962;7276174;27;100
;;R97304;CAPAS ROGUIS MEIDE LTDA. MEIDIBAI WOODCROFT TROUXA;CAPAS;ROGUIS MEIDE LTDA.;MEIDIBAI WOODCROFT;TROUXA;COR;32285;1481965;69;55
;;R26605;CAPAS ROGUIS MEIDE LTDA. MEIDIBAI WOODCROFT DUENDE;CAPAS;ROGUIS MEIDE LTDA.;MEIDIBAI WOODCROFT;DUENDE;COR;319;7161138;13;67
;;N7553;CAPAS ROGUIS MEIDE LTDA. QUALQUERSEX ;CAPAS;ROGUIS MEIDE LTDA.;QUALQUERSEX;;MARCA;5220;4358707;51;41
;;R19074;CAPAS ROGUIS MEIDE LTDA. QUALQUERSEX ANIMAL FANTÁSTICO;CAPAS;ROGUIS MEIDE LTDA.;QUALQUERSEX;ANIMAL FANTÁSTICO;COR;28298;2227473;17;60
;;R85241;CAPAS ROGUIS MEIDE LTDA. QUALQUERSEX BRUXO;CAPAS;ROGUIS MEIDE LTDA.;QUALQUERSEX;BRUXO;COR;44592;1965933;42;63
;;R99102;CAPAS ROGUIS MEIDE LTDA. QUALQUERSEX TROUXA;CAPAS;ROGUIS MEIDE LTDA.;QUALQUERSEX;TROUXA;COR;28613;1219236;8;61
;;R20506;CAPAS ROGUIS MEIDE LTDA. QUALQUERSEX DUENDE;CAPAS;ROGUIS MEIDE LTDA.;QUALQUERSEX;DUENDE;COR;14948;3731439;24;20
;;N9830;CAPAS ROGUIS MEIDE LTDA. MEIDIBAI ROSMERTA ;CAPAS;ROGUIS MEIDE LTDA.;MEIDIBAI ROSMERTA;;MARCA;11228;2821144;74;94
;;R64085;CAPAS ROGUIS MEIDE LTDA. MEIDIBAI ROSMERTA BRUXO;CAPAS;ROGUIS MEIDE LTDA.;MEIDIBAI ROSMERTA;BRUXO;COR;39022;677463;68;54
;;R59319;CAPAS ROGUIS MEIDE LTDA. MEIDIBAI ROSMERTA TROUXA;CAPAS;ROGUIS MEIDE LTDA.;MEIDIBAI ROSMERTA;TROUXA;COR;44343;3242073;10;93
;;R18796;CAPAS ROGUIS MEIDE LTDA. MEIDIBAI ROSMERTA DUENDE;CAPAS;ROGUIS MEIDE LTDA.;MEIDIBAI ROSMERTA;DUENDE;COR;32230;308455;32;15
;;B319;CAPAS DEMENTADORES S/A  ;CAPAS;DEMENTADORES S/A;;;FABRICANTE;47696;7803080;86;82
;;N234;CAPAS DEMENTADORES S/A VAIDEMORTE ;CAPAS;DEMENTADORES S/A;VAIDEMORTE;;MARCA;18748;5722050;75;29
;;R91716;CAPAS DEMENTADORES S/A VAIDEMORTE BRUXO;CAPAS;DEMENTADORES S/A;VAIDEMORTE;BRUXO;COR;49598;1777463;14;64
;;R59993;CAPAS DEMENTADORES S/A VAIDEMORTE TROUXA;CAPAS;DEMENTADORES S/A;VAIDEMORTE;TROUXA;COR;40938;9940861;88;55
;;R42210;CAPAS DEMENTADORES S/A VAIDEMORTE DUENDE;CAPAS;DEMENTADORES S/A;VAIDEMORTE;DUENDE;COR;7944;8776284;38;98
;;N2886;CAPAS DEMENTADORES S/A PAN ;CAPAS;DEMENTADORES S/A;PAN;;MARCA;9919;4548134;86;72
;;R13298;CAPAS DEMENTADORES S/A PAN ANIMAL FANTÁSTICO;CAPAS;DEMENTADORES S/A;PAN;ANIMAL FANTÁSTICO;COR;4805;1507562;62;82
;;R93759;CAPAS DEMENTADORES S/A PAN BRUXO;CAPAS;DEMENTADORES S/A;PAN;BRUXO;COR;24748;1089159;59;28
;;R21131;CAPAS DEMENTADORES S/A PAN TROUXA;CAPAS;DEMENTADORES S/A;PAN;TROUXA;COR;20653;7748312;71;85
;;R49532;CAPAS DEMENTADORES S/A PAN DUENDE;CAPAS;DEMENTADORES S/A;PAN;DUENDE;COR;28195;7636628;55;51
;;N5336;CAPAS DEMENTADORES S/A LESTRANHA ;CAPAS;DEMENTADORES S/A;LESTRANHA;;MARCA;46102;9804926;45;18
;;R27351;CAPAS DEMENTADORES S/A LESTRANHA BRUXO;CAPAS;DEMENTADORES S/A;LESTRANHA;BRUXO;COR;23912;7973175;30;40
;;R80752;CAPAS DEMENTADORES S/A LESTRANHA TROUXA;CAPAS;DEMENTADORES S/A;LESTRANHA;TROUXA;COR;49810;7196630;19;20
;;R13333;CAPAS DEMENTADORES S/A LESTRANHA DUENDE;CAPAS;DEMENTADORES S/A;LESTRANHA;DUENDE;COR;2981;8379477;47;92
;;B474;CAPAS ESCAMANDRO LTDA.  ;CAPAS;ESCAMANDRO LTDA.;;;FABRICANTE;1337;5825573;20;1
;;N5925;CAPAS ESCAMANDRO LTDA. NILTON ;CAPAS;ESCAMANDRO LTDA.;NILTON;;MARCA;1200;6041357;80;47
;;R36085;CAPAS ESCAMANDRO LTDA. NILTON BRUXO;CAPAS;ESCAMANDRO LTDA.;NILTON;BRUXO;COR;38175;4146345;24;27
;;R23106;CAPAS ESCAMANDRO LTDA. NILTON TROUXA;CAPAS;ESCAMANDRO LTDA.;NILTON;TROUXA;COR;13258;870578;3;8
;;R12951;CAPAS ESCAMANDRO LTDA. NILTON DUENDE;CAPAS;ESCAMANDRO LTDA.;NILTON;DUENDE;COR;3591;3972345;50;1
;;N1790;CAPAS ESCAMANDRO LTDA. NEUTRX ;CAPAS;ESCAMANDRO LTDA.;NEUTRX;;MARCA;6981;4253273;15;92
;;R73886;CAPAS ESCAMANDRO LTDA. NEUTRX ANIMAL FANTÁSTICO;CAPAS;ESCAMANDRO LTDA.;NEUTRX;ANIMAL FANTÁSTICO;COR;34561;5588660;52;69
;;R31266;CAPAS ESCAMANDRO LTDA. NEUTRX BRUXO;CAPAS;ESCAMANDRO LTDA.;NEUTRX;BRUXO;COR;42122;9379122;92;8
;;R73825;CAPAS ESCAMANDRO LTDA. NEUTRX TROUXA;CAPAS;ESCAMANDRO LTDA.;NEUTRX;TROUXA;COR;43622;9232864;68;34
;;R26852;CAPAS ESCAMANDRO LTDA. NEUTRX DUENDE;CAPAS;ESCAMANDRO LTDA.;NEUTRX;DUENDE;COR;43034;8417803;37;13
;;N7409;CAPAS ESCAMANDRO LTDA. OLIVIA ;CAPAS;ESCAMANDRO LTDA.;OLIVIA;;MARCA;43493;5552929;96;10
;;R75276;CAPAS ESCAMANDRO LTDA. OLIVIA BRUXO;CAPAS;ESCAMANDRO LTDA.;OLIVIA;BRUXO;COR;7721;3591602;93;9
;;R20355;CAPAS ESCAMANDRO LTDA. OLIVIA TROUXA;CAPAS;ESCAMANDRO LTDA.;OLIVIA;TROUXA;COR;27702;2693889;69;73
;;R27571;CAPAS ESCAMANDRO LTDA. OLIVIA DUENDE;CAPAS;ESCAMANDRO LTDA.;OLIVIA;DUENDE;COR;16368;648445;88;75
;AREA VI - AUTOSSERVIÇO;A958;CAPAS   ;CAPAS;;;;CATEGORY;29875;4297723;53;1
;;B541;CAPAS ROGUI WARTES LTDA.  ;CAPAS;ROGUI WARTES LTDA.;;;FABRICANTE;21736;8167764;39;92
;;N1266;CAPAS ROGUI WARTES LTDA. ROGUI WARTES ;CAPAS;ROGUI WARTES LTDA.;ROGUI WARTES;;MARCA;15970;6683625;30;72
;;R81477;CAPAS ROGUI WARTES LTDA. ROGUI WARTES BRUXO;CAPAS;ROGUI WARTES LTDA.;ROGUI WARTES;BRUXO;COR;44471;7895286;5;22
;;R94635;CAPAS ROGUI WARTES LTDA. ROGUI WARTES TROUXA;CAPAS;ROGUI WARTES LTDA.;ROGUI WARTES;TROUXA;COR;22246;5606516;12;39
;;R51041;CAPAS ROGUI WARTES LTDA. ROGUI WARTES DUENDE;CAPAS;ROGUI WARTES LTDA.;ROGUI WARTES;DUENDE;COR;35268;3856830;76;6
;;N2618;CAPAS ROGUI WARTES LTDA. ROGUI PARATODES ;CAPAS;ROGUI WARTES LTDA.;ROGUI PARATODES;;MARCA;42014;8269103;2;49
;;R60103;CAPAS ROGUI WARTES LTDA. ROGUI PARATODES ANIMAL FANTÁSTICO;CAPAS;ROGUI WARTES LTDA.;ROGUI PARATODES;ANIMAL FANTÁSTICO;COR;14353;6820931;84;43
;;R8548;CAPAS ROGUI WARTES LTDA. ROGUI PARATODES BRUXO;CAPAS;ROGUI WARTES LTDA.;ROGUI PARATODES;BRUXO;COR;18677;8974966;10;72
;;R25240;CAPAS ROGUI WARTES LTDA. ROGUI PARATODES TROUXA;CAPAS;ROGUI WARTES LTDA.;ROGUI PARATODES;TROUXA;COR;10889;3442959;8;87
;;R59104;CAPAS ROGUI WARTES LTDA. ROGUI PARATODES DUENDE;CAPAS;ROGUI WARTES LTDA.;ROGUI PARATODES;DUENDE;COR;11188;1939685;21;93
;;N8906;CAPAS ROGUI WARTES LTDA. ROGUI LADIES ;CAPAS;ROGUI WARTES LTDA.;ROGUI LADIES;;MARCA;15199;7124394;73;37
;;R51297;CAPAS ROGUI WARTES LTDA. ROGUI LADIES BRUXO;CAPAS;ROGUI WARTES LTDA.;ROGUI LADIES;BRUXO;COR;13230;7364860;58;55
;;R23636;CAPAS ROGUI WARTES LTDA. ROGUI LADIES TROUXA;CAPAS;ROGUI WARTES LTDA.;ROGUI LADIES;TROUXA;COR;27192;1254812;97;20
;;R5291;CAPAS ROGUI WARTES LTDA. ROGUI LADIES DUENDE;CAPAS;ROGUI WARTES LTDA.;ROGUI LADIES;DUENDE;COR;24926;7999235;64;21
;;B752;CAPAS ROGUIS MEIDE LTDA.  ;CAPAS;ROGUIS MEIDE LTDA.;;;FABRICANTE;6398;3445175;41;41
;;N1471;CAPAS ROGUIS MEIDE LTDA. MEIDIBAI WOODCROFT ;CAPAS;ROGUIS MEIDE LTDA.;MEIDIBAI WOODCROFT;;MARCA;46959;7116380;5;38
;;R82472;CAPAS ROGUIS MEIDE LTDA. MEIDIBAI WOODCROFT BRUXO;CAPAS;ROGUIS MEIDE LTDA.;MEIDIBAI WOODCROFT;BRUXO;COR;5209;2543971;9;93
;;R97304;CAPAS ROGUIS MEIDE LTDA. MEIDIBAI WOODCROFT TROUXA;CAPAS;ROGUIS MEIDE LTDA.;MEIDIBAI WOODCROFT;TROUXA;COR;35203;1910658;23;6
;;R26605;CAPAS ROGUIS MEIDE LTDA. MEIDIBAI WOODCROFT DUENDE;CAPAS;ROGUIS MEIDE LTDA.;MEIDIBAI WOODCROFT;DUENDE;COR;29354;8714783;53;14
;;N7553;CAPAS ROGUIS MEIDE LTDA. QUALQUERSEX ;CAPAS;ROGUIS MEIDE LTDA.;QUALQUERSEX;;MARCA;17855;6493862;69;83
;;R19074;CAPAS ROGUIS MEIDE LTDA. QUALQUERSEX ANIMAL FANTÁSTICO;CAPAS;ROGUIS MEIDE LTDA.;QUALQUERSEX;ANIMAL FANTÁSTICO;COR;38733;4377362;42;92
;;R85241;CAPAS ROGUIS MEIDE LTDA. QUALQUERSEX BRUXO;CAPAS;ROGUIS MEIDE LTDA.;QUALQUERSEX;BRUXO;COR;40418;7585645;6;8
;;R99102;CAPAS ROGUIS MEIDE LTDA. QUALQUERSEX TROUXA;CAPAS;ROGUIS MEIDE LTDA.;QUALQUERSEX;TROUXA;COR;45900;5552888;44;4
;;R20506;CAPAS ROGUIS MEIDE LTDA. QUALQUERSEX DUENDE;CAPAS;ROGUIS MEIDE LTDA.;QUALQUERSEX;DUENDE;COR;16089;4970700;94;100
;;N9830;CAPAS ROGUIS MEIDE LTDA. MEIDIBAI ROSMERTA ;CAPAS;ROGUIS MEIDE LTDA.;MEIDIBAI ROSMERTA;;MARCA;26573;8248566;44;72
;;R64085;CAPAS ROGUIS MEIDE LTDA. MEIDIBAI ROSMERTA BRUXO;CAPAS;ROGUIS MEIDE LTDA.;MEIDIBAI ROSMERTA;BRUXO;COR;172;8158243;99;82
;;R59319;CAPAS ROGUIS MEIDE LTDA. MEIDIBAI ROSMERTA TROUXA;CAPAS;ROGUIS MEIDE LTDA.;MEIDIBAI ROSMERTA;TROUXA;COR;5050;5191318;91;33
;;R18796;CAPAS ROGUIS MEIDE LTDA. MEIDIBAI ROSMERTA DUENDE;CAPAS;ROGUIS MEIDE LTDA.;MEIDIBAI ROSMERTA;DUENDE;COR;1342;6377893;47;40
;;B319;CAPAS DEMENTADORES S/A  ;CAPAS;DEMENTADORES S/A;;;FABRICANTE;43183;7742811;54;14
;;N234;CAPAS DEMENTADORES S/A VAIDEMORTE ;CAPAS;DEMENTADORES S/A;VAIDEMORTE;;MARCA;43273;9937151;45;3
;;R91716;CAPAS DEMENTADORES S/A VAIDEMORTE BRUXO;CAPAS;DEMENTADORES S/A;VAIDEMORTE;BRUXO;COR;36985;9700792;50;71
;;R59993;CAPAS DEMENTADORES S/A VAIDEMORTE TROUXA;CAPAS;DEMENTADORES S/A;VAIDEMORTE;TROUXA;COR;34525;3122308;37;69
;;R42210;CAPAS DEMENTADORES S/A VAIDEMORTE DUENDE;CAPAS;DEMENTADORES S/A;VAIDEMORTE;DUENDE;COR;43786;1999126;96;72
;;N2886;CAPAS DEMENTADORES S/A PAN ;CAPAS;DEMENTADORES S/A;PAN;;MARCA;30925;8501702;51;91
;;R13298;CAPAS DEMENTADORES S/A PAN ANIMAL FANTÁSTICO;CAPAS;DEMENTADORES S/A;PAN;ANIMAL FANTÁSTICO;COR;48017;1627761;32;11
;;R93759;CAPAS DEMENTADORES S/A PAN BRUXO;CAPAS;DEMENTADORES S/A;PAN;BRUXO;COR;29038;1736836;36;13
;;R21131;CAPAS DEMENTADORES S/A PAN TROUXA;CAPAS;DEMENTADORES S/A;PAN;TROUXA;COR;48078;5542118;15;84
;;R49532;CAPAS DEMENTADORES S/A PAN DUENDE;CAPAS;DEMENTADORES S/A;PAN;DUENDE;COR;37471;7459557;6;2
;;N5336;CAPAS DEMENTADORES S/A LESTRANHA ;CAPAS;DEMENTADORES S/A;LESTRANHA;;MARCA;371;5284328;32;39
;;R27351;CAPAS DEMENTADORES S/A LESTRANHA BRUXO;CAPAS;DEMENTADORES S/A;LESTRANHA;BRUXO;COR;8836;9476120;62;11
;;R80752;CAPAS DEMENTADORES S/A LESTRANHA TROUXA;CAPAS;DEMENTADORES S/A;LESTRANHA;TROUXA;COR;11605;2407931;55;46
;;R13333;CAPAS DEMENTADORES S/A LESTRANHA DUENDE;CAPAS;DEMENTADORES S/A;LESTRANHA;DUENDE;COR;29708;160088;89;10
;;B474;CAPAS ESCAMANDRO LTDA.  ;CAPAS;ESCAMANDRO LTDA.;;;FABRICANTE;20702;7790399;43;37
;;N5925;CAPAS ESCAMANDRO LTDA. NILTON ;CAPAS;ESCAMANDRO LTDA.;NILTON;;MARCA;26749;8086395;48;9
;;R36085;CAPAS ESCAMANDRO LTDA. NILTON BRUXO;CAPAS;ESCAMANDRO LTDA.;NILTON;BRUXO;COR;46566;5487251;59;31
;;R23106;CAPAS ESCAMANDRO LTDA. NILTON TROUXA;CAPAS;ESCAMANDRO LTDA.;NILTON;TROUXA;COR;37811;7210934;88;96
;;R12951;CAPAS ESCAMANDRO LTDA. NILTON DUENDE;CAPAS;ESCAMANDRO LTDA.;NILTON;DUENDE;COR;31824;9624265;91;89
;;N1790;CAPAS ESCAMANDRO LTDA. NEUTRX ;CAPAS;ESCAMANDRO LTDA.;NEUTRX;;MARCA;378;791735;86;88
;;R73886;CAPAS ESCAMANDRO LTDA. NEUTRX ANIMAL FANTÁSTICO;CAPAS;ESCAMANDRO LTDA.;NEUTRX;ANIMAL FANTÁSTICO;COR;45050;6230424;47;63
;;R31266;CAPAS ESCAMANDRO LTDA. NEUTRX BRUXO;CAPAS;ESCAMANDRO LTDA.;NEUTRX;BRUXO;COR;3319;7837097;5;51
;;R73825;CAPAS ESCAMANDRO LTDA. NEUTRX TROUXA;CAPAS;ESCAMANDRO LTDA.;NEUTRX;TROUXA;COR;36742;1534186;18;7
;;R26852;CAPAS ESCAMANDRO LTDA. NEUTRX DUENDE;CAPAS;ESCAMANDRO LTDA.;NEUTRX;DUENDE;COR;41284;9404339;67;80
;;N7409;CAPAS ESCAMANDRO LTDA. OLIVIA ;CAPAS;ESCAMANDRO LTDA.;OLIVIA;;MARCA;43104;9077738;57;77
;;R75276;CAPAS ESCAMANDRO LTDA. OLIVIA BRUXO;CAPAS;ESCAMANDRO LTDA.;OLIVIA;BRUXO;COR;41722;2588654;81;94
;;R20355;CAPAS ESCAMANDRO LTDA. OLIVIA TROUXA;CAPAS;ESCAMANDRO LTDA.;OLIVIA;TROUXA;COR;18221;2286456;12;38
;;R27571;CAPAS ESCAMANDRO LTDA. OLIVIA DUENDE;CAPAS;ESCAMANDRO LTDA.;OLIVIA;DUENDE;COR;27958;8008289;12;26
;AREA VII - AUTOSSERVIÇO;A958;CAPAS   ;CAPAS;;;;CATEGORY;30344;822163;9;14
;;B541;CAPAS ROGUI WARTES LTDA.  ;CAPAS;ROGUI WARTES LTDA.;;;FABRICANTE;12660;7659450;92;64
;;N1266;CAPAS ROGUI WARTES LTDA. ROGUI WARTES ;CAPAS;ROGUI WARTES LTDA.;ROGUI WARTES;;MARCA;18252;2615095;86;95
;;R81477;CAPAS ROGUI WARTES LTDA. ROGUI WARTES BRUXO;CAPAS;ROGUI WARTES LTDA.;ROGUI WARTES;BRUXO;COR;20214;8408507;48;60
;;R94635;CAPAS ROGUI WARTES LTDA. ROGUI WARTES TROUXA;CAPAS;ROGUI WARTES LTDA.;ROGUI WARTES;TROUXA;COR;38519;8848354;14;22
;;R51041;CAPAS ROGUI WARTES LTDA. ROGUI WARTES DUENDE;CAPAS;ROGUI WARTES LTDA.;ROGUI WARTES;DUENDE;COR;3644;8982654;57;42
;;N2618;CAPAS ROGUI WARTES LTDA. ROGUI PARATODES ;CAPAS;ROGUI WARTES LTDA.;ROGUI PARATODES;;MARCA;39292;3625307;53;56
